Food Name,Magn-esium,Sodium,Potassium,Copper,Mang-anese,Molyb-denum,Zinc,Chromium,Sulphur,Chlorine,Calcium,Phosp-horus,Iron,Carbs
BAJRA,137,10.9,307,1.1,1.2,0.1,3.1,0,147,39,42,296,8,67.5
BARLEY,21,0,0,1.2,1,0,1.2,0,130,91,26,215,1.67,69.6
ITALIAN MILLET,81,4.6,250,1.4,0.6,0.1,2.4,0,171,37,31,290,2.8,60.9
JOWAR,171,7.3,131,0.5,0.8,0,1.6,0,54,44,25,222,4.1,72.6
"MAIZE,dry",139,15.9,286,0.4,0.5,0,2.8,0,114,33,10,348,2.3,66.2
"MAIZE, tender",40,51.7,151,0,0,0,0,0,61,34,9,121,1.1,24.6
PANIVARAGU,153,8.2,113,1.6,0.6,0,1.4,0,157,19,14,206,0.8,70.4
RAGI,137,11,408,0.5,5.5,0.1,2.3,0,160,44,344,283,3.9,72
"RICE, parboiled, handpounded",157,0,0,0.2,1.1,0.1,1.4,0,0,0,10,280,2.8,77.4
"RICE, parboiled,milled",76,0,0,0.2,0.7,0.1,1.4,0,0,0,9,143,1,79
"RICE, raw, handpounded",0,0,0,0,0,0,0,0,0,0,10,190,3.2,76.7
"RICE, raw, milled",77,0,0,0.1,0.6,0.1,1.4,0,0,0,10,160,0.7,78.2
"RICE, bran",0,0,0,0,0,0,0,0,0,0,67,1410,35,48.4
"RICE, flakes",101,10.9,154,0.4,0,0,0,0,105,17,20,238,20,77.3
"RICE, puffed",0,8.1,0,0,0,0,0,0,0,0,23,150,6.6,73.6
SAMAI,133,0,129,1,0.7,0,3.7,0.2,149,13,17,220,9.3,67
SANWA MILLET,82,4.6,0,0.6,1,0,3,0.1,0,0,20,280,5,65.5
VARAGU,147,4.5,144,1.6,1.1,0,0.7,0,136,11,27,188,0.5,65.9
"WHEAT, bulgar (parboiled)",144,17.1,260,0.6,0,0,0,0,143,22,37,298,4.9,77.2
"WHEAT, whole",138,20,284,0.7,2.3,0.1,2.7,0,128,47,41,306,5.3,71.2
"WHEAT, flour(whole)",132,9.3,315,0.5,2.3,0,2.2,0,122,29,48,355,4.9,69.4
"WHEAT, flour(refined)",54,21,130,0.2,0.6,0,0.6,0,115,47,23,121,2.7,73.9
"WHEAT, germ",0,0,0,0,0,0,0,0,0,0,40,846,6,53.3
"WHEAT, semolina",0,21,83,0,0,0,0,0,0,0,16,102,1.6,74.8
"WHEAT, vermicelli",42,7.9,138,0.3,0,0,0,0,145,46,22,92,2,78.3
"WHEAT, bread, (brown)",0,0,0,0,0,0,0,0,0,0,18,0,2.2,49
