Food Name,Carotene(µg),Thiamine(mg),Riboflavin(mg),Niacin(mg),Folicacid(mg),Folicfree(mg),Vitamin-C(mg),Choline-(mg),Energy,Fat value,Protein
BAJRA,132,0.3,0.3,2.3,45.5,14.7,0,0,361,5,11.6
BARLEY,10,0.5,0.2,5.4,0,0,0,0,336,1.3,11.5
ITALIAN MILLET,32,0.6,0.1,3.2,15,4.2,0,0,331,4.3,12.3
JOWAR,47,0.4,0.1,3.1,20,14,0,0,349,1.9,10.4
"MAIZE,dry",90,0.4,0.1,1.8,20,14,0,0,342,3.6,11.1
"MAIZE, tender",32,0.1,0.2,0.6,0,0,6,0,125,0.9,4.7
PANIVARAGU,0,0.2,0.2,2.3,0,0,0,748,341,1.1,12.5
RAGI,42,0.4,0.2,1.1,18.3,5.2,0,0,328,1.3,7.3
"RICE, parboiled, handpounded",9,0.3,0.1,4,0,0,0,0,349,0.6,8.5
"RICE, parboiled,milled",0,0.2,0.1,3.8,11,8.9,0,0,346,0.4,6.4
"RICE, raw, handpounded",2,0.2,0.2,3.9,0,0,0,77,346,1,7.5
"RICE, raw, milled",0,0.1,0.1,1.9,8,4.1,0,0,345,0.5,6.8
"RICE, bran",0,2.7,0.5,29.8,0,0,0,0,393,16.2,13.5
"RICE, flakes",0,0.2,0.1,4,0,0,0,0,346,1.2,6.6
"RICE, puffed",0,0.2,0,4.1,0,0,0,0,325,0.1,7.5
SAMAI,0,0.3,0.1,3.2,9,2.2,0,0,341,4.7,7.7
SANWA MILLET,0,0.3,0.1,4.2,0,0,0,0,307,2.2,6.2
VARAGU,0,0.3,0.1,2,23.1,7.4,0,0,309,1.4,8.3
"WHEAT, bulgar (parboiled)",0,0.7,0.1,4.8,0,0,0,206,356,1.6,8.2
"WHEAT, whole",64,0.5,0.2,5.5,36.6,14.2,0,0,346,1.5,11.8
"WHEAT, flour(whole)",29,0.5,0.2,4.3,35.8,12.1,0,0,341,1.7,12.1
"WHEAT, flour(refined)",25,0.1,0.1,2.4,0,0,0,0,348,0.9,11
"WHEAT, germ",0,1.4,0.5,2.9,0,0,0,0,397,7.4,29.2
"WHEAT, semolina",0,0.1,0,1.6,0,0,0,0,348,0.8,10.4
"WHEAT, vermicelli",0,0.2,0.1,1.8,0,0,0,0,352,0.4,8.7
"WHEAT, bread, (brown)",0,0.2,0,2.5,0,0,0,0,244,1.4,8.8
"WHEAT, bread, (white)",0,0.1,0,0.7,0,0,0,0,245,0.7,7.8
"BENGAL GRAM, whole",189,0.3,0.1,2.9,186,34,3,194,360,5.3,17.1
"BENGAL GRAM, dhal",129,0.5,0.2,2.4,147.5,32,1,0,372,5.6,20.8
"BENGAL GRAM, roasted",113,0.2,0,1.3,139,22,0,0,369,5.2,22.5
"BLACK GRAM, dhal",38,0.4,0.2,2,132,24,0,206,347,1.4,24
COWPEA,12,0.5,0.2,1.3,133,69,0,202,323,1,24.1
"FIELD BEAN, dry",0,0.5,0.2,1.8,0,0,0,352,347,0.8,24.9
"GREEN GRAM, whole",94,0.5,0.3,2.1,0,0,0,167,334,1.3,24
"GREEN GRAM, dhal",49,0.5,0.2,2.4,140,24.5,0,0,348,1.2,24.5
"HORSE GRAM, whole",71,0.4,0.2,1.5,0,0,1,0,321,0.5,22
"KHESARI, dhal",120,0.4,0.2,2.9,0,0,0,0,345,0.6,28.2
LENTIL,270,0.5,0.2,2.6,36,14.5,0,299,343,0.7,25.1
MOTH BEANS,9,0.5,0.1,1.5,0,0,2,0,330,1.1,23.6
PEAS green,83,0.3,0,0.8,0,0,9,20,93,0.1,7.2
"PEAS, dry",39,0.5,0.2,3.4,7.5,4.6,0,235,315,1.1,19.7
"PEAS, roasted",18,0.5,0.2,3.5,0,0,0,0,340,1.4,22.9
RAJMAH,0,0,0,0,0,0,0,0,346,1.3,22.9
"RED GRAM, dhal",132,0.5,0.2,2.9,103,19,0,183,335,1.7,22.3
"RED GRAM, tender",469,0.3,0.3,3,0,0,25,72,116,1,9.8
SOYABEAN,426,0.7,0.4,3.2,100,8.7,0,0,432,19.5,43.2
AGATHI,5400,0.2,0.1,1.2,0,0,169,0,93,1.4,8.4
AMARANTH caudatus,0,0,0,0,0,0,0,0,26,0.7,3
"AMARANTH, tender gangeticus",5520,0,0.3,1.2,149,41,99,31,45,0.5,4
"AMARANTH, stem gangeticus",255,0,0.2,0,0,0,10,0,19,0.1,0.9
"AMARANTH, paniculatus",14190,0,0.2,1.1,0,0,81,0,67,1,5.9
"AMARANTH, polygonoides",0,0,0,0,0,0,0,0,33,0.3,2.8
"AMARANTH, spinosus",3564,0,0,0,0,0,33,0,43,0.3,3
AMARANTH species (Chakravarthikeerai),0,0,0,0,0,0,0,0,57,0.6,4.5
AMARANTH species (koyakeerai),0,0,0,0,0,0,0,0,37,0.5,2.8
AMARANTH tristis,0,0,0,0,0,0,0,0,44,0.4,2.8
"AMARANTH, viridis",0,0,0,0,0,0,179,0,38,0.3,5.2
AMBAT CHUKA,3660,0,0.1,0.2,125,40,12,0,15,0.3,1.6
BATHUA LEAVES,1740,0,0.1,0.6,0,0,35,0,30,0.4,3.7
BEET GREENS,5862,0.3,0.6,3.3,0,0,70,0,46,0.8,3.4
BENGAL GRAM LEAVES,0,0,0,0,0,0,0,0,97,1.4,7
BETEL LEAVES,5760,0.1,0,0.7,0,0,5,0,44,0.8,3.1
BOTTLE GOURD LEAVES,0,0,0,0,0,0,0,0,39,0.7,2.3
BROAD BEAN LEAVES,0,0,0,0,0,0,0,0,71,0.3,5.6
BRUSSELS SPROUTS,126,0.1,0.2,0.4,0,0,72,0,52,0.5,4.7
CABBAGE,120,0.1,0.1,0.4,23,13.3,124,120,27,0.1,1.8
CARROT LEAVES,5700,0,0.4,2.1,0,0,79,0,77,0.5,5.1
CAULIFLOWER LEAVES,0,0,0,0,0,0,0,0,66,1.3,5.9
CELERY LEAVES,3990,0,0.1,1.2,0,0,62,0,37,0.6,6.3
CELERY STALK,520,0.1,0.1,0.3,0,0,6,0,18,0.1,0.8
CHEKKUR MANIS,5706,0.5,0.3,2.6,0,0,247,0,103,3.2,6.8
COLOCASIA LEAVES (black variety),12000,0.1,0.5,1.9,0,0,63,0,77,2,6.8
COLOCASIA LEAVES (green variety),10278,0.2,0.3,1.1,0,0,12,0,56,1.5,3.9
COLACASIA LEAVES (dried),0,0,0,0,0,0,0,0,277,5.9,13.7
CORIANDER LEAVES,6918,0.1,0.1,0.8,0,0,135,0,44,0.6,3.3
COW PEA LEAVES,6702,0.1,0.2,0.6,0,0,4,0,38,0.7,3.4
