Food Code,Food Name (minerals indian.csv),Food Category,Energy,Carbs,Fat,Protein,Fat value,Alpha Lino-lenic,Arachidic,Arginine,Behenic,Calcium,Carotene(µg),Chlorine,Choline-(mg),Chromium,Copper,Cystine,Folicacid(mg),Folicfree(mg),Histidine,IDF(g),Iron,Isole-ucine,Leucine,Ligno-ceric,Linoleic,Lysine,Magn-esium,Mang-anese,Methi-onine,Molyb-denum,Niacin(mg),Number of Records,Oleic,Palmi-toleic,Palmitic,Phenyl-alanine,Phosp-horus,Potassium,Riboflavin(mg),SDF(g),Sodium,Stearic,Sulphur,TDF(g),Thiamine(mg),Thre-onine,Total Mono Unsa-turates,Total N,Total Poly Unsaturates,Total Satur-ates,Trypt-ophan,Tyrosine,Valine,Vitamin-C(mg),Zinc
1,BAJRA,cereal_grains_and_products,361,67.5,5.5,11.6,5,0.13,0,300,0,42,132,39,0,0,1.1,110,45.5,14.7,140,9.1,8,260,750,0,2.2,190,137,1.2,150,0.1,2.3,1,1.2,0,1,290,296,307,0.3,2.2,10.9,0.24,147,11.3,0.3,240,1.2,1.86,2.33,1.24,110,200,330,0,3.1
2,BARLEY,,336,69.6,,11.5,1.3,,,300,,26,10,91,0,0,1.2,100,0,0,180,,1.67,240,420,,,230,21,1,100,0,5.4,1,,,,310,215,0,0.2,,0,,130,,0.5,200,,1.84,,,100,180,310,0,1.2
3,ITALIAN MILLET,,331,60.9,,12.3,4.3,,,220,,31,32,37,0,0,1.4,100,15,4.2,130,,2.8,480,1040,,,140,81,0.6,180,0.1,3.2,1,,,,420,290,250,0.1,,4.6,,171,,0.6,190,,1.97,,,60,0,430,0,2.4
4,JOWAR,cereal_grains_and_products,349,72.6,3.3,10.4,1.9,0.05,0,240,0,25,47,44,0,0,0.5,90,20,14,160,8,4.1,270,880,0,1.5,150,171,0.8,100,0,3.1,1,1,0,0.5,300,222,131,0.1,1.7,7.3,0.07,54,9.7,0.4,210,1,1.66,1.55,0.57,70,180,340,0,1.6
5,"MAIZE,dry",,342,66.2,,11.1,3.6,,,290,,10,90,33,0,0,0.4,100,20,14,160,,2.3,240,720,,,200,139,0.5,120,0,1.8,1,,,,290,348,286,0.1,,15.9,,114,,0.4,280,,1.78,,,40,240,300,0,2.8
,"MAIZE, tender",,,24.6,,,,,,,,9,,34,,0,0,,,,,,1.1,,,,,,40,0,,0,,1,,,,,121,151,,,51.7,,61,,,,,,,,,,,,0
7,PANIVARAGU,,341,70.4,,12.5,1.1,,,290,,14,0,19,748,0,1.6,0,0,0,110,,0.8,410,760,,,190,153,0.6,160,0,2.3,1,,,,310,206,113,0.2,,8.2,,157,,0.2,150,,2,,,50,0,41,0,1.4
8,RAGI,cereal_grains_and_products,328,72,1.5,7.3,1.3,0.05,0,300,0,344,42,44,0,0,0.5,140,18.3,5.2,130,9.9,3.9,400,690,0,0.3,220,137,5.5,210,0.1,1.1,1,0.7,0,0.3,310,283,408,0.2,1.6,11,0.02,160,11.5,0.4,240,0.7,1.17,0.35,0.32,100,220,180,0,2.3
,"RICE, parboiled, handpounded",,,77.4,,,,,,,,10,,0,,0,0.2,,,,,,2.8,,,,,,157,1.1,,0.1,,1,,,,,280,0,,,0,,0,,,,,,,,,,,,1.4
10,"RICE, parboiled,milled",,346,79,,6.4,0.4,,,640,,9,0,0,0,0,0.2,100,11,8.9,190,,1,310,560,,,220,76,0.7,220,0.1,3.8,1,,,,350,143,0,0.1,,0,,0,,0.2,290,,1.02,,,70,300,460,0,1.4
,"RICE, raw, handpounded",,,76.7,,,,,,,,10,,0,,0,0,,,,,,3.2,,,,,,0,0,,0,,1,,,,,190,0,,,0,,0,,,,,,,,,,,,0
12,"RICE, raw, milled",,345,78.2,,6.8,0.5,,,480,,10,0,0,0,0,0.1,90,8,4.1,130,,0.7,300,500,,,230,77,0.6,150,0.1,1.9,1,,,,280,160,0,0.1,,0,,0,,0.1,230,,1.09,,,80,290,380,0,1.4
,"RICE, bran",,,48.4,,,,,,,,67,,0,,0,0,,,,,,35,,,,,,0,0,,0,,1,,,,,1410,0,,,0,,0,,,,,,,,,,,,0
,"RICE, flakes",,,77.3,,,,,,,,20,,17,,0,0.4,,,,,,20,,,,,,101,0,,0,,1,,,,,238,154,,,10.9,,105,,,,,,,,,,,,0
,"RICE, puffed",,,73.6,,,,,,,,23,,0,,0,0,,,,,,6.6,,,,,,0,0,,0,,1,,,,,150,0,,,8.1,,0,,,,,,,,,,,,0
16,SAMAI,,341,67,,7.7,4.7,,,250,,17,0,13,0,0.2,1,90,9,2.2,120,,9.3,370,760,,,110,133,0.7,180,0,3.2,1,,,,330,220,129,0.1,,0,,149,,0.3,190,,1.23,,,60,0,350,0,3.7
,SANWA MILLET,,,65.5,,,,,,,,20,,0,,0.1,0.6,,,,,,5,,,,,,82,1,,0,,1,,,,,280,0,,,4.6,,0,,,,,,,,,,,,3
18,VARAGU,,309,65.9,,8.3,1.4,,,270,,27,0,11,0,0,1.6,110,23.1,7.4,120,,0.5,360,650,,,150,147,1.1,180,0,2,1,,,,430,188,144,0.1,,4.5,,136,,0.3,200,,1.33,,,50,0,410,0,0.7
,"WHEAT, bulgar (parboiled)",,,77.2,,,,,,,,37,,22,,0,0.6,,,,,,4.9,,,,,,144,0,,0,,1,,,,,298,260,,,17.1,,143,,,,,,,,,,,,0
